Gene_Symbol	avg_log2FC	p_val	pct.1	pct.2	p_val_adj
Inava	2.767059519	1.37E-09	0.059	0.005	4.44E-05
Ccdc138	2.654018933	1.51E-09	0.071	0.009	4.87E-05
Tgm2	-2.333091747	1.65E-09	0.117	0.243	5.32E-05
Prkar2b	2.780179577	1.70E-09	0.073	0.011	5.50E-05
Nr1h3	-2.497749546	1.77E-09	0.051	0.168	5.71E-05
Ms4a7	4.394851783	1.80E-09	0.046	0.001	5.81E-05
Ska1	4.020619026	1.83E-09	0.046	0.001	5.90E-05
A4galt	-2.256249732	1.88E-09	0.068	0.19	6.06E-05
Il16	-4.424154244	2.13E-09	0.01	0.102	6.89E-05
Cspg4	5.725094144	2.16E-09	0.042	0	6.99E-05
E030030I06Rik	5.987656115	2.16E-09	0.042	0	6.99E-05
Gm32255	5.934660635	2.16E-09	0.042	0	6.99E-05
Eme1	5.725653272	2.16E-09	0.042	0	6.99E-05
Chtf18	5.827622772	2.16E-09	0.042	0	6.99E-05
Cdc25c	5.993557899	2.16E-09	0.042	0	6.99E-05
Nanos1	5.696565375	2.16E-09	0.042	0	6.99E-05
C7	-6.121601585	2.79E-09	0.002	0.087	9.00E-05
Col24a1	3.63231522	3.76E-09	0.049	0.002	0.000121436
Kif20b	2.615227325	3.97E-09	0.056	0.005	0.00012823
Rida	2.679848416	4.69E-09	0.071	0.011	0.0001513
Rgma	-2.218690406	4.89E-09	0.095	0.216	0.000157934
Prex2	-2.694822382	5.19E-09	0.059	0.172	0.00016743
Gbx2	5.864063069	6.48E-09	0.039	0	0.000209138
Cenpi	5.805427822	6.48E-09	0.039	0	0.000209138
Myo7a	2.138585561	6.74E-09	0.081	0.015	0.000217532
Atoh8	2.886032118	7.29E-09	0.061	0.007	0.000235255
Mboat1	2.285544546	1.08E-08	0.064	0.008	0.000347503
Col4a4	-5.647597866	1.11E-08	0.002	0.081	0.00035867
Mcm10	2.998150379	1.13E-08	0.046	0.002	0.000365498
Mylk	2.174118052	1.14E-08	0.066	0.009	0.000366716
Fetub	-4.468097948	1.35E-08	0.007	0.09	0.000434613
Cip2a	2.803542669	1.49E-08	0.056	0.006	0.000479915
Smtnl2	-3.654452176	1.53E-08	0.012	0.099	0.000493108
Il6ra	-3.634678157	1.54E-08	0.017	0.107	0.000495949
Bard1	4.183120267	1.61E-08	0.042	0.001	0.000521277
Mlf1	4.17848847	1.62E-08	0.042	0.001	0.000523721
Chek1	3.935453748	1.62E-08	0.042	0.001	0.000523721
Bean1	-6.736472522	1.69E-08	0	0.074	0.000547079
Mir22hg	-2.398174861	1.92E-08	0.054	0.162	0.000621271
Fancd2	5.870799795	1.94E-08	0.037	0	0.000625982
Ddias	5.855549263	1.94E-08	0.037	0	0.000625982
Folr1	5.667378478	1.94E-08	0.037	0	0.000625982
Unc13c	5.936492412	1.94E-08	0.037	0	0.000625982
Sirpa	-2.219746732	2.12E-08	0.081	0.194	0.000683687
Sema3c	-4.005940573	2.20E-08	0.01	0.093	0.00070985
Sqor	-2.270434695	2.33E-08	0.073	0.183	0.000751008
C1s1	-2.18376837	2.35E-08	0.078	0.19	0.000757524
Shmt1	2.479329864	2.42E-08	0.061	0.008	0.000781581
Icosl	-4.056675842	2.71E-08	0.01	0.092	0.000873692
Eln	-2.378986553	3.00E-08	0.115	0.228	0.000967548
Plagl1	2.205805572	3.00E-08	0.051	0.005	0.000970076
Rin3	3.001843921	3.79E-08	0.054	0.006	0.001223455
Dhcr24	2.216871478	4.33E-08	0.054	0.006	0.001399344
Ccdc141	2.007650934	4.39E-08	0.068	0.012	0.001418585
Polq	3.727776909	4.84E-08	0.039	0.001	0.001562954
Ccdc122	2.57964084	5.38E-08	0.056	0.007	0.001737087
Nusap1	2.359177626	5.40E-08	0.056	0.007	0.001743303
Kifc1	3.304264367	5.44E-08	0.046	0.004	0.001756306
Ect2	5.609223373	5.81E-08	0.034	0	0.001874231
Raet1d	5.582568508	5.81E-08	0.034	0	0.001874231
Trac	5.864075784	5.81E-08	0.034	0	0.001874231
Ercc6l	5.463814571	5.81E-08	0.034	0	0.001874231
Arxes2	5.460531807	5.81E-08	0.034	0	0.001874231
Rbl1	2.412385818	6.03E-08	0.056	0.007	0.001947048
D630003M21Rik	-4.79763245	6.21E-08	0.005	0.079	0.002006501
Egfl7	2.061128804	7.84E-08	0.059	0.008	0.002531973
Zdhhc12	2.116625165	8.77E-08	0.088	0.022	0.002832121
Kcnq5	3.621404217	8.99E-08	0.042	0.002	0.002900917
Arhgef26	3.675638952	9.22E-08	0.042	0.002	0.002977156
Abca6	-2.64152533	1.13E-07	0.034	0.126	0.003635287
Zfp503	4.779018783	1.34E-07	0.037	0.001	0.004328319
Iqgap3	3.686765219	1.43E-07	0.037	0.001	0.004618988
Enc1	-2.377409836	1.72E-07	0.056	0.154	0.005541746
Wt1	5.683987542	1.74E-07	0.032	0	0.005614871
Kif24	5.419213033	1.74E-07	0.032	0	0.005614871
Cdkn2a	5.497821369	1.74E-07	0.032	0	0.005614871
Kif2c	5.187841582	1.74E-07	0.032	0	0.005614871
Foxm1	5.834335793	1.74E-07	0.032	0	0.005614871
Creb3l3	5.393141661	1.74E-07	0.032	0	0.005614871
Lrrc15	5.639416701	1.74E-07	0.032	0	0.005614871
Usp51	5.530264594	1.74E-07	0.032	0	0.005614871
Hist1h1e	3.153422145	2.22E-07	0.046	0.005	0.007168528
Plekho1	2.313127507	2.26E-07	0.061	0.011	0.007307602
Stil	3.943248053	2.59E-07	0.039	0.002	0.008349064
Hmga2	3.753549542	2.71E-07	0.039	0.002	0.00875219
Megf11	3.607392097	2.73E-07	0.039	0.002	0.008827477
Cyb561	-2.040297195	3.40E-07	0.1	0.2	0.010964286
Pcsk5	-4.186839823	3.88E-07	0.012	0.085	0.012516019
Ntn1	-2.306578873	4.02E-07	0.054	0.147	0.012977894
Nsun7	4.21938288	4.15E-07	0.034	0.001	0.013396881
BC030867	3.138812555	4.27E-07	0.034	0.001	0.013773076
Trib1	-2.28765633	4.35E-07	0.073	0.169	0.014033878
1700109H08Rik	2.499108908	4.71E-07	0.042	0.004	0.015192539
Mastl	5.32435681	5.22E-07	0.029	0	0.016836895
Ccdc18	5.619087664	5.22E-07	0.029	0	0.016836895
E2f8	5.155357663	5.22E-07	0.029	0	0.016836895
Ticrr	5.130384676	5.22E-07	0.029	0	0.016836895
Fanca	5.488202735	5.22E-07	0.029	0	0.016836895
Dixdc1	5.193161435	5.22E-07	0.029	0	0.016836895
Spag5	5.145534045	5.22E-07	0.029	0	0.016836895
Gm6093	5.623747076	5.22E-07	0.029	0	0.016836895
Lepr	-5.330942258	6.64E-07	0.002	0.063	0.021430321
Smad6	2.13040499	7.01E-07	0.064	0.013	0.022620576
Il17d	-3.154587046	7.92E-07	0.02	0.094	0.025569588
4930550C14Rik	3.192402208	8.05E-07	0.037	0.002	0.025996332
Mtus2	2.495717232	8.22E-07	0.037	0.002	0.026552967
Fuca2	2.59328689	8.22E-07	0.037	0.002	0.026552967
Fbxl13	2.159766262	9.20E-07	0.046	0.006	0.02970188
Hotairm1	4.680267383	1.21E-06	0.032	0.001	0.039217188
Adam22	4.264698445	1.22E-06	0.032	0.001	0.03939776
Ano4	4.170140177	1.23E-06	0.032	0.001	0.039761308
Orc1	3.173187892	1.25E-06	0.039	0.004	0.040274855
Sgo2a	3.427865382	1.26E-06	0.032	0.001	0.040684351
Prdm8	2.860306437	1.27E-06	0.032	0.001	0.040871417
Tek	-2.505596725	1.43E-06	0.037	0.118	0.046255178
