Gene_Symbol	avg_log2FC	p_val	pct.1	pct.2	p_val_adj
Ddx20	-2.548315659	4.60E-07	0.006	0.064	0.014860588
Bcas3	2.005726739	5.13E-07	0.214	0.108	0.016568527
Mcm10	-5.586015061	5.73E-07	0	0.046	0.018503454
Ska1	-5.497277903	5.73E-07	0	0.046	0.018503454
Sorbs2	4.530980203	5.74E-07	0.076	0.007	0.018545375
Mtus2	2.463233645	5.84E-07	0.127	0.037	0.018859746
Pygb	2.034141298	5.85E-07	0.199	0.095	0.018891387
Ch25h	-2.418769824	5.93E-07	0.011	0.076	0.019134531
Scml4	2.956454748	5.98E-07	0.095	0.017	0.019302861
P3h2	3.836053266	6.13E-07	0.085	0.012	0.019780007
Adamts17	4.713160386	6.55E-07	0.07	0.005	0.021143462
Gm34006	4.11633508	6.57E-07	0.07	0.005	0.021220359
Zc3h12a	-2.37190202	7.48E-07	0.009	0.071	0.024161702
Kif20a	-3.718229546	7.56E-07	0.002	0.051	0.024399341
Kazald1	2.471220131	7.58E-07	0.142	0.049	0.02446305
Pgf	-2.301347959	8.54E-07	0.008	0.066	0.027583159
Ramp1	4.848290143	9.96E-07	0.068	0.005	0.032166053
Adcy2	2.905456043	1.04E-06	0.1	0.022	0.033532967
Col2a1	5.222307723	1.06E-06	0.062	0.002	0.034119675
Cep55	-5.335220246	1.15E-06	0	0.044	0.037128493
Scx	2.439469962	1.26E-06	0.104	0.024	0.04063305
G0s2	2.016520537	1.32E-06	0.195	0.095	0.042462539
Plk1	-3.583089955	1.52E-06	0.002	0.049	0.048958043
Cdc7	-2.986226523	1.52E-06	0.002	0.049	0.049191042
Haus5	-3.170290316	1.52E-06	0.002	0.049	0.049191042
Gja4	4.760080886	1.53E-06	0.066	0.005	0.049435297
Atp6v0a4	4.574876836	1.54E-06	0.066	0.005	0.049793151
